Issue,Client,Firm,Lobbyists Total,Former Covered Federal workers,Start Date,Latest Filing Date,,Time,Lobbyists over time,Revolving door lobbyists,,,,Time,Lobbyists over time,,Days,Months,Lobbyists
"Advancing H.R. 2454, the American Clean Energy & Security Act. S. 1733, the Clean Energy Jobs and American Power Act. The American Power Act. H.R. 5019, Home Star Energy Retrofit Act of 2010. S. 3...",Green Tech Action Fund,"BAY BRIDGE STRATEGIES, INC.",1,0,"Sept. 1, 2009","July 20, 2012",0,1/1/2005,0,0,,,,1/1/2005,0,,0,1/1/2007,31
H.R. 2454 American Clean Energy and Security Act of 2009 S. 1462 American Clean Energy and Leadership Act of 2009 H.R. 977 Derivatives Markets Transparency and Accountability Act of 2009 Clean Ener...,PEPCO HOLDINGS INC.,MR. RAY BILLUPS,2,0,"Nov. 1, 2007","March 22, 2010",31,2/1/2005,0,0,,,31,2/1/2005,0,,31,2/1/2007,31
H.R.2454: American Clean Energy and Security Act of 2009; S. 1462: The American Clean Energy Leadership Act of 2009,FIRST ENERGY,"COMPASS CONSULTING GROUP, LLC",4,0,"Nov. 1, 2007","Oct. 16, 2009",59,3/1/2005,0,0,,,59,3/1/2005,0,,59,3/1/2007,46
American Clean Energy & Security Act of 2009 (ACESA)/ (H.R. 2454) - provisions related to clean energy/renewable fuels/biofuels S. 661 - Restoring American Manufacturing Leadership Through Energy ...,Aurora Biofuels,Ms. Cynthia Guerrero,2,0,"Feb. 15, 2009","Aug. 3, 2010",90,4/1/2005,0,0,,,90,4/1/2005,0,,90,4/1/2007,233
"General components of H.R.2454, the American Clean Energy And Security Act of 2009. S. 1733, the Clean Energy Jobs and American Power Act. The American Power Act. Agricultural components of H.R.24...","Peck, Madigan, Jones & Stewart, Inc. (on behalf of Julian Robertson)","BAY BRIDGE STRATEGIES, INC.",1,0,"Oct. 1, 2008","April 20, 2011",120,5/1/2005,0,0,,,120,5/1/2005,0,,120,5/1/2007,248
"H.R. 2454, The American Clean Energy and Security Act of 2009 S. 1462, The American Clean Energy Leadership Act. Federal income tax provisions relating to renewable energy.",Mesa Power Group,in-house lobbying,1,0,"Nov. 10, 2008","July 20, 2010",151,6/1/2005,0,0,,,151,6/1/2005,0,,151,6/1/2007,286
"HR 2454, American Clean Energy & Security Act, Title I, provisions relating to sequestration. S.1462, American Clean Energy Leadership Act, Title III, provisions relating to sequestration. HR 2454,...",Encore Acquisition Company,Denny Miller Associates,4,0,"Sept. 14, 2009","July 20, 2010",181,7/1/2005,0,0,,,181,7/1/2005,0,,181,7/1/2007,307
"HR 2454 American Clean Energy and Security Act of 2009, Title 3, provisions relating to global warming reduction; HR 2454, American Clean Energy and Security Act of 2009; HR 2998, American Clean En...","RRI Energy, Inc.",in-house lobbying,4,2,"June 11, 2009","Dec. 16, 2010",212,8/1/2005,0,0,,,212,8/1/2005,0,,212,8/1/2007,308
"Monitor legislation related to electricity transmission; H.R. 2454 - American Clean Energy and Security Act, Title I; S. 1462, American Clean Energy Leadership Act.",LS Power Associates,HOLLAND & HART LLP,1,1,"April 1, 2009","Oct. 11, 2011",243,9/1/2005,0,0,,,243,9/1/2005,0,,243,9/1/2007,308
"H.R. 2454, American Clean Energy and Security Act of 2009; S. 949, 21st Century Energy Technology Deployment Act; S. 1013, Department of Energy Carbon Capture and Sequestration Program Amendments A...","NC12, Inc.",PATTON BOGGS LLP,3,1,"May 4, 2009","Oct. 11, 2011",273,10/1/2005,0,0,,,273,10/1/2005,0,,273,10/1/2007,308
H.R.2454-American Clean Energy and Security Act of 2009 Climate change Exchange trading issues S.1733-Clean Energy Jobs and American Power Act H.R.2454-American Clean Energy and Security Act of 200...,Chicago Climate Exchange,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",3,1,"July 30, 2009","Jan. 20, 2010",304,11/1/2005,0,0,,,304,11/1/2005,0,,304,11/1/2007,308
"Smart Grid and Clean Energy provisions of the: American Clean Energy & Security Act of 2009 (H.R. 2454), the American Clean Energy Leadership Act of 2009 (S. 1462) and the Clean Energy Jobs and Ame...","Current Group, LLC","OLDAKER, BELAIR & WITTIE LLP",3,1,"Jan. 1, 2008","Oct. 20, 2010",334,12/1/2005,0,0,,,334,12/1/2005,0,,334,12/1/2007,308
"H.R.1, American Recovery and Reinvestment Act of 2009. Monitor H.R. 2454, American Clean Energy And Security Act of 2009. Monitor H.R. 2454, American Clean Energy And Security Act of 2009.",Amyris Biotechnologies,"BAY BRIDGE STRATEGIES, INC.",1,0,"March 1, 2008","July 20, 2009",365,1/1/2006,0,0,,,365,1/1/2006,0,,365,1/1/2008,308
Plug-in Hybrid vehicle development Climate Legislation Climate Change/Global Warming - American Clean Energy and Security Act of 2009 (H.R. 2454) Clean Energy Jobs and American Power Act (S. 1733) ...,Austin Energy,DUNCAN WEINBERG GENZER & PEMBROKE PC,4,0,"May 21, 2007","July 8, 2010",396,2/1/2006,0,0,,,396,2/1/2006,0,,396,2/1/2008,308
H.R. 2454 - American Clean Energy & Security Act of 2009 - entire bill; S. 1733 - Clean Energy Jobs and American Power Act - entire bill; H.R. 890 - American Renewable Energy Act of 2009 - entire b...,"TECO ENERGY, INC","HECHT SPENCER & ASSOCIATES, INC.",4,0,"Jan. 1, 2008","Jan. 19, 2010",424,3/1/2006,0,0,,,424,3/1/2006,0,,425,3/1/2008,320
H.R. 2454 American Clean Energy and Security Act of 2009,Jupiter Oxygen,in-house lobbying,2,0,"April 1, 2008","Sept. 14, 2009",455,4/1/2006,13,1,,,455,4/1/2006,13,,456,4/1/2008,407
"HR 2454, American Clean Energy and Security Act of 2009, all provisions. S 1733, Clean Energy Jobs and American Power Act, all provisions.",U.S. Steel Corporation,Ms. Sue Sheridan,1,1,"April 2, 2009","April 20, 2010",485,5/1/2006,29,7,,,485,5/1/2006,29,,486,5/1/2008,418
